Applicant_Gender,Owned_Car,Owned_Realty,Total_Children,Total_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Owned_Mobile_Phone,Owned_Work_Phone,Owned_Phone,Owned_Email,Job_Title,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Status
M,1,1,0,112500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Security staff,2,59,4,0,30,1
F,0,1,0,270000,Commercial associate,"Secondary / secondary special   ",Single / not married,"House / apartment   ",1,0,1,1,"Sales staff   ",1,53,9,0,5,1
F,0,1,0,270000,Commercial associate,"Secondary / secondary special   ",Single / not married,"House / apartment   ",1,0,1,1,"Sales staff   ",1,53,9,0,5,1
F,0,1,0,270000,Commercial associate,"Secondary / secondary special   ",Single / not married,"House / apartment   ",1,0,1,1,"Sales staff   ",1,53,9,0,27,1
F,0,1,0,270000,Commercial associate,"Secondary / secondary special   ",Single / not married,"House / apartment   ",1,0,1,1,"Sales staff   ",1,53,9,0,39,1
M,1,1,0,270000,"Working ","Higher education    ","Married ","House / apartment   ",1,1,1,1,"Accountants   ",2,47,3,0,6,1
M,1,1,0,135000,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,49,4,0,8,1
M,1,1,0,135000,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,49,4,0,9,1
M,1,1,0,135000,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,49,4,0,9,1
M,1,1,0,135000,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,49,4,0,9,1
M,1,1,0,135000,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,49,4,0,5,1
M,1,1,0,135000,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,49,4,0,4,1
F,1,0,0,130500,"Working ","Incomplete higher   ","Married ","House / apartment   ",1,0,0,0,"Accountants   ",2,30,4,1,25,1
F,1,0,0,130500,"Working ","Incomplete higher   ","Married ","House / apartment   ",1,0,0,0,"Accountants   ",2,30,4,7,23,1
F,0,1,0,157500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,Laborers,2,28,5,2,30,1
F,0,1,0,157500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,Laborers,2,28,5,2,18,1
F,0,1,0,157500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,Laborers,2,28,5,2,33,1
M,1,1,3,270000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,5,35,4,0,17,1
M,1,1,3,270000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,5,35,4,0,17,1
M,0,1,1,405000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,0,Managers,3,33,6,0,31,1
M,0,1,1,405000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,0,Managers,3,33,6,0,14,1
M,0,1,1,405000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,0,Managers,3,33,6,0,56,1
M,0,1,1,405000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,0,Managers,3,33,6,0,5,1
M,0,1,1,405000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,0,Managers,3,33,6,0,9,1
M,0,1,1,405000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,0,Managers,3,33,6,0,30,1
M,1,1,0,112500,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,"Drivers ",2,57,13,0,33,1
M,1,1,0,112500,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,"Drivers ",2,57,13,0,12,1
M,1,1,0,112500,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,"Drivers ",2,57,13,0,33,1
M,1,1,0,112500,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,"Drivers ",2,57,13,0,12,1
M,1,1,0,112500,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,"Drivers ",2,57,13,0,26,1
M,1,1,0,112500,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,"Drivers ",2,57,13,0,12,1
M,1,1,0,112500,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,"Drivers ",2,57,13,0,1,1
M,1,1,0,112500,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,"Drivers ",2,57,13,0,16,1
F,1,1,2,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,4,44,9,0,2,1
F,1,1,2,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,4,44,9,0,29,1
F,1,1,2,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,4,44,9,0,4,1
F,1,1,2,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,4,44,9,0,28,1
F,1,1,2,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,4,44,9,0,11,1
F,1,1,2,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,4,44,9,0,5,1
F,1,1,2,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,4,44,9,0,4,1
F,1,1,2,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,4,44,9,0,4,1
F,1,1,2,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,4,44,9,0,3,1
F,1,1,2,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,4,44,9,0,2,1
F,1,1,2,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,4,44,9,0,3,1
F,1,1,2,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,4,44,9,0,2,1
F,1,1,2,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,4,44,9,0,2,1
F,1,1,2,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,4,44,9,0,4,1
F,0,1,1,211500,"State servant ","Secondary / secondary special   ",Civil marriage,"House / apartment   ",1,0,0,0,"Core staff    ",3,45,20,0,25,1
F,0,1,1,211500,"State servant ","Secondary / secondary special   ",Civil marriage,"House / apartment   ",1,0,0,0,"Core staff    ",3,45,20,0,12,1
M,1,1,0,360000,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,Security staff,2,46,15,1,10,1
F,0,1,2,126000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,1,Managers,4,34,5,0,22,1
F,0,1,2,126000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,1,Managers,4,34,5,0,46,1
F,0,1,2,126000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,1,Managers,4,34,5,0,40,1
F,0,1,2,126000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,1,Managers,4,34,5,0,44,1
F,0,1,2,126000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,1,Managers,4,34,5,0,8,1
F,0,1,2,126000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,1,Managers,4,34,5,3,9,1
